category,pct_tasks_affected,workers_affected,wages_affected
Cut wood components for installation.,0.00,0.00,0.00
"Cut tile, stone, or other masonry materials.",0.00,0.00,0.00
"Prepare biological feedstock for physical, chemical, or biological processing.",0.00,0.00,0.00
Prepare activity or work schedules.,0.00,0.00,0.00
Fabricate products or components using machine tools.,0.00,0.00,0.00
Follow safety procedures for vehicle operation.,0.00,0.00,0.00
Fit patients for assistive devices.,0.00,0.00,0.00
"Fill cracks, imperfections, or holes in products or workpieces.",0.00,0.00,0.00
Position structural components.,0.00,0.00,0.00
Heat material or workpieces to prepare for or complete production.,0.00,0.00,0.00
Harvest agricultural products.,0.00,0.00,0.00
Handle caskets.,0.00,0.00,0.00
Grind parts to required dimensions.,0.00,0.00,0.00
Give medications or immunizations.,0.00,0.00,0.00
Immerse objects or workpieces in cleaning or coating solutions.,0.00,0.00,0.00
Ignite fuel to activate heating equipment.,0.00,0.00,0.00
Reshape metal workpieces to established specifications.,0.00,0.00,0.00
Research sustainable agricultural processes or practices.,0.00,0.00,0.00
Coordinate regulatory documentation activities.,0.00,0.00,0.00
Rescue people from hazardous situations.,0.00,0.00,0.00
Position raw materials on processing or production equipment.,0.00,0.00,0.00
Position material handling equipment.,0.00,0.00,0.00
Position hand tools.,0.00,0.00,0.00
Position containers to receive materials or workpieces.,0.00,0.00,0.00
Position animal trapping or capture equipment.,0.00,0.00,0.00
Host events.,0.00,0.00,0.00
Hold patients to ensure proper positioning or safety.,0.00,0.00,0.00
Pilot aircraft.,0.00,0.00,0.00
Perform manual service or maintenance tasks.,0.00,0.00,0.00
"Perform manual agricultural, aquacultural, or horticultural tasks.",0.00,0.00,0.00
Perform forest firefighting activities.,0.00,0.00,0.00
Perform for recordings.,0.00,0.00,0.00
Perform dances.,0.00,0.00,0.00
Reshape small metal components for precision assembly.,0.00,0.00,0.00
Coordinate activities of food service staff.,0.00,0.00,0.00
Control equipment that regulates vehicle traffic.,0.00,0.00,0.00
Construct customized assistive medical or dental devices.,0.00,0.00,0.00
Coordinate musical rehearsals or performances.,0.00,0.00,0.00
Coordinate flight control or management activities.,0.00,0.00,0.00
Plan employee work schedules.,0.00,0.00,0.00
"Hire farming, fishing or forestry workers.",0.00,0.00,0.00
Paint surfaces or equipment.,0.00,0.00,0.00
Package products for storage or shipment.,0.00,0.00,0.00
Package objects for shipping.,0.00,0.00,0.00
Package materials for transport.,0.00,0.00,0.00
Package agricultural products for shipment or further processing.,0.00,0.00,0.00
Inspect aircraft or aircraft components.,0.00,0.00,0.00
Implement therapeutic programs to improve patient functioning.,0.00,0.00,0.00
Implement advanced life support techniques.,0.00,0.00,0.00
Inspect equipment to ensure proper functioning.,0.00,0.00,0.00
Inspect equipment or tools to be used in construction or excavation.,0.00,0.00,0.00
Inspect equipment or facilities to determine condition or maintenance needs.,0.00,0.00,0.00
Conduct environmental audits.,0.00,0.00,0.00
Conduct diagnostic tests to determine patient health.,0.00,0.00,0.00
Respond to transportation emergencies.,0.00,0.00,0.00
Resolve personnel problems.,0.00,0.00,0.00
Resolve interpersonal conflicts.,0.00,0.00,0.00
Schedule medical facility use.,0.00,0.00,0.00
Schedule instructional activities.,0.00,0.00,0.00
Inspect communications or broadcasting equipment.,0.00,0.00,0.00
Inspect cargo to ensure it is properly loaded or secured.,0.00,0.00,0.00
Inspect cargo areas for cleanliness or condition.,0.00,0.00,0.00
Inspect areas for compliance with sanitation standards.,0.00,0.00,0.00
Operate transportation equipment to demonstrate function or malfunction.,0.00,0.00,0.00
Inspect installed components or assemblies.,0.00,0.00,0.00
Inspect gas systems or components to identify leaks or other potential hazards.,0.00,0.00,0.00
"Inspect facilities, equipment or supplies to ensure conformance to standards.",0.00,0.00,0.00
"Inspect facilities to ensure compliance with safety, quality, or service standards.",0.00,0.00,0.00
Schedule equipment maintenance.,0.00,0.00,0.00
Schedule agricultural or forestry work.,0.00,0.00,0.00
Rule on admissibility of legal proceedings.,0.00,0.00,0.00
Communicate patient status to other health practitioners.,0.00,0.00,0.00
Compact materials to create level bases.,0.00,0.00,0.00
Clean work sites.,0.00,0.00,0.00
"Secure watercraft to docks, wharves or other vessels.",0.00,0.00,0.00
Operate sewing equipment.,0.00,0.00,0.00
Operate road-surfacing equipment.,0.00,0.00,0.00
Operate recycling equipment.,0.00,0.00,0.00
Operate pumps or compressors.,0.00,0.00,0.00
Operate packing or other material processing equipment.,0.00,0.00,0.00
Operate on patients to treat conditions.,0.00,0.00,0.00
Operate natural gas generation equipment.,0.00,0.00,0.00
Operate natural gas distribution equipment.,0.00,0.00,0.00
Operate mining equipment.,0.00,0.00,0.00
Operate medical equipment.,0.00,0.00,0.00
Secure cargo.,0.00,0.00,0.00
Collect geological samples.,0.00,0.00,0.00
Collect fares or payment from customers.,0.00,0.00,0.00
Collect dirty dishes or other tableware.,0.00,0.00,0.00
Shape glass or similar materials.,0.00,0.00,0.00
Operate irrigation systems.,0.00,0.00,0.00
Adjust positions of patients on beds or tables.,0.00,0.00,0.00
Operate grinding equipment.,0.00,0.00,0.00
Operate green energy production equipment.,0.00,0.00,0.00
Operate forklifts or other loaders.,0.00,0.00,0.00
Operate forestry equipment.,0.00,0.00,0.00
Inspect operations of green energy facilities.,0.00,0.00,0.00
Shape clay or dough to create products.,0.00,0.00,0.00
Sew materials.,0.00,0.00,0.00
Accompany individuals or groups to activities.,0.00,0.00,0.00
Sell agricultural products.,0.00,0.00,0.00
Climb ladders or vehicles to perform duties.,0.00,0.00,0.00
Climb equipment or structures to access work areas.,0.00,0.00,0.00
Clear equipment jams.,0.00,0.00,0.00
Clean workpieces or finished products.,0.00,0.00,0.00
Clean vehicles or vehicle components.,0.00,0.00,0.00
Clean tools or equipment.,0.00,0.00,0.00
Clean tableware.,0.00,0.00,0.00
Clean surfaces in preparation for work activities.,0.00,0.00,0.00
Clean patient rooms or patient treatment rooms.,0.00,0.00,0.00
Clean medical equipment or facilities.,0.00,0.00,0.00
Clean machinery or equipment.,0.00,0.00,0.00
Clean food service areas.,0.00,0.00,0.00
"Clean food preparation areas, facilities, or equipment.",0.00,0.00,0.00
Slaughter animals.,0.00,0.00,0.00
Skim impurities from molten metal.,0.00,0.00,0.00
Signal equipment operators to indicate proper equipment positioning.,0.00,0.00,0.00
Shovel materials.,0.00,0.00,0.00
Sharpen cutting or grinding tools.,0.00,0.00,0.00
Shape surfaces or edges of wood workpieces.,0.00,0.00,0.00
Shape metal workpieces with hammers or other small hand tools.,0.00,0.00,0.00
Sterilize food cooking or processing equipment.,0.00,0.00,0.00
Clean facilities or sites.,0.00,0.00,0.00
Clean fabrics or apparel.,0.00,0.00,0.00
Clean equipment or supplies.,0.00,0.00,0.00
Clean building walls or flooring.,0.00,0.00,0.00
Cast molds of patient anatomies to create medical or dental devices.,0.00,0.00,0.00
Stack finished items for further processing or shipment.,0.00,0.00,0.00
"Spread sand, dirt or other loose materials onto surfaces.",0.00,0.00,0.00
Sort recyclable materials.,0.00,0.00,0.00
Sort materials or objects for processing or transport.,0.00,0.00,0.00
Sort forestry or agricultural materials.,0.00,0.00,0.00
Solder parts or workpieces.,0.00,0.00,0.00
Smooth surfaces with abrasive materials or tools.,0.00,0.00,0.00
Smooth surfaces of objects or equipment.,0.00,0.00,0.00
Smooth metal surfaces or edges.,0.00,0.00,0.00
Clean vessels or marine equipment.,0.00,0.00,0.00
Maintain watercraft engines or machinery.,0.00,0.00,0.00
Inspect textile products.,0.00,0.00,0.00
Inspect medical or dental assistive devices.,0.00,0.00,0.00
Inspect material-moving equipment to detect problems.,0.00,0.00,0.00
Inspect locomotives or other railroad equipment.,0.00,0.00,0.00
Inspect landscaping to determine treatment needs.,0.00,0.00,0.00
Operate firefighting equipment.,0.00,0.00,0.00
Operate farming equipment.,0.00,0.00,0.00
Operate excavation equipment.,0.00,0.00,0.00
Operate equipment to print images or bind printed images together.,0.00,0.00,0.00
Operate equipment or vehicles to clear construction sites or move materials.,0.00,0.00,0.00
Operate energy production equipment.,0.00,0.00,0.00
Operate drilling equipment.,0.00,0.00,0.00
Operate detonation equipment.,0.00,0.00,0.00
Stock supplies or merchandise.,0.00,0.00,0.00
Stock serving stations or dining areas with food or supplies.,0.00,0.00,0.00
Build agricultural structures.,0.00,0.00,0.00
"Break up rock, asphalt, or concrete.",0.00,0.00,0.00
Braze metal parts or components.,0.00,0.00,0.00
Bolt objects into place.,0.00,0.00,0.00
Balance receipts.,0.00,0.00,0.00
Authorize payments to settle legal disputes.,0.00,0.00,0.00
Authorize construction activities.,0.00,0.00,0.00
Audition for roles.,0.00,0.00,0.00
Supervise production or support personnel.,0.00,0.00,0.00
Supervise inmate activities.,0.00,0.00,0.00
Capture or kill animals.,0.00,0.00,0.00
Calculate geographic positions from survey data.,0.00,0.00,0.00
Supervise activities of other legal personnel.,0.00,0.00,0.00
Operate conveyors or other industrial material moving equipment.,0.00,0.00,0.00
Operate chemical processing or water treatment systems or equipment.,0.00,0.00,0.00
Operate biomass or biofuel production equipment.,0.00,0.00,0.00
Install gauges or controls.,0.00,0.00,0.00
Install fencing or other barriers.,0.00,0.00,0.00
Install equipment to protect or support trees.,0.00,0.00,0.00
Install doors or windows.,0.00,0.00,0.00
Inspect sustainable energy production facilities or equipment.,0.00,0.00,0.00
Inspect structural components of vehicles to identify problems.,0.00,0.00,0.00
Inspect sets or exhibits.,0.00,0.00,0.00
Inspect safety equipment to ensure proper functioning.,0.00,0.00,0.00
Negotiate labor disputes.,0.00,0.00,0.00
"Negotiate contracts for environmental remediation, green energy, or renewable resources.",0.00,0.00,0.00
Navigate water vessels.,0.00,0.00,0.00
"Move products, materials, or equipment between work areas.",0.00,0.00,0.00
"Attach identification information to products, items or containers.",0.00,0.00,0.00
Assist students with special educational needs.,0.00,0.00,0.00
Build production molds.,0.00,0.00,0.00
Build construction forms or molds.,0.00,0.00,0.00
Install safety or support equipment.,0.00,0.00,0.00
Install roofing materials.,0.00,0.00,0.00
Install prefabricated or manufactured structures.,0.00,0.00,0.00
Install metal structural components.,0.00,0.00,0.00
Install masonry materials.,0.00,0.00,0.00
Make patient-assistive devices or device models.,0.00,0.00,0.00
Assess locations for potential green technology installations.,0.00,0.00,0.00
Assess characteristics of fires.,0.00,0.00,0.00
Assemble wood products.,0.00,0.00,0.00
Assist others during emergencies.,0.00,0.00,0.00
Assist healthcare practitioners during examinations or treatments.,0.00,0.00,0.00
Assist disabled or incapacitated individuals.,0.00,0.00,0.00
Move large objects using heavy equipment.,0.00,0.00,0.00
"Move equipment, supplies or food to required locations.",0.00,0.00,0.00
Monitor vehicle movement or location.,0.00,0.00,0.00
Install green plumbing or water handling systems.,0.00,0.00,0.00
Monitor engine operation or functioning.,0.00,0.00,0.00
Install wooden structural components.,0.00,0.00,0.00
Install trim or paneling.,0.00,0.00,0.00
Install structural foundations.,0.00,0.00,0.00
Install solar energy systems.,0.00,0.00,0.00
Inventory materials or equipment.,0.00,0.00,0.00
Monitor food services operations to ensure procedures are followed.,0.00,0.00,0.00
"Assemble machine tools, parts, or fixtures.",0.00,0.00,0.00
Assemble garments or textile products.,0.00,0.00,0.00
Arrange tables or dining areas.,0.00,0.00,0.00
Test patient vision.,0.00,0.00,0.00
Test patient hearing.,0.00,0.00,0.00
Test facilities for environmental hazards.,0.00,0.00,0.00
Monitor the handling of hazardous materials or medical wastes.,0.00,0.00,0.00
Monitor surroundings to detect potential hazards.,0.00,0.00,0.00
Monitor equipment operation to ensure that products are not flawed.,0.00,0.00,0.00
Lift materials or workpieces using cranes or other lifting equipment.,0.00,0.00,0.00
Manage guest services.,0.00,0.00,0.00
Maintain green energy production plant equipment.,0.00,0.00,0.00
Direct natural resources management or conservation programs.,0.00,0.00,0.00
Direct natural resources extraction projects.,0.00,0.00,0.00
Direct maintenance or repair activities.,0.00,0.00,0.00
Direct maintenance and repair activities in green energy production facilities.,0.00,0.00,0.00
Direct installation activities.,0.00,0.00,0.00
Develop health assessment methods or programs.,0.00,0.00,0.00
Develop plans to manage natural or renewable resources.,0.00,0.00,0.00
Provide first aid or rescue assistance in emergencies.,0.00,0.00,0.00
"Direct activities of agricultural, forestry, or fishery employees.",0.00,0.00,0.00
Locate animals for fishing or hunting purposes.,0.00,0.00,0.00
Load or unload materials used in construction or extraction.,0.00,0.00,0.00
Load items into ovens or furnaces.,0.00,0.00,0.00
Label production materials.,0.00,0.00,0.00
