iwa,date,pct_tasks_affected,workers_affected,wages_affected
Design databases.,2025-11-13,54.74,51328.37,5430329919.90
Inspect facilities or equipment.,2025-11-13,8.87,51184.55,3744689860.96
Perform human resources activities.,2025-11-13,25.55,50546.02,3803576063.08
Operate industrial processing or production equipment.,2025-11-13,8.01,48836.55,2552286915.45
Coach others.,2025-11-13,57.61,46620.90,2872746707.78
Examine people or animals to assess health conditions or physical characteristics.,2025-11-13,14.36,45814.54,6273852468.60
Perform general construction or extraction activities.,2025-11-13,3.98,45677.74,2190181897.28
Clean medical equipment or facilities.,2025-11-13,6.53,44503.67,2115987478.04
"Assist scientists, scholars, or technical specialists with projects or research.",2025-11-13,60.02,44472.92,2696960861.08
Record information about legal matters.,2025-11-13,23.47,43947.48,3870681105.31
Resolve personnel or operational problems.,2025-11-13,16.07,41258.07,3582883263.29
Intervene in crisis situations or emergencies.,2025-11-13,10.23,40595.73,1737462309.60
Assess characteristics of land or property.,2025-11-13,5.53,40587.24,1984687684.85
"Interpret language, cultural, or religious information for others.",2025-11-13,81.49,39636.54,2267950133.12
Research healthcare issues.,2025-11-13,59.13,38560.98,4113185981.32
Study details of artistic productions.,2025-11-13,71.60,38396.25,2694047453.74
Order medical tests or procedures.,2025-11-13,37.90,37363.17,6003044200.29
"Investigate individuals' background, behavior, or activities.",2025-11-13,59.90,36567.26,2054126890.55
Develop sustainable organizational or business policies or practices.,2025-11-13,20.09,36058.78,3825494687.16
Create artistic designs or performances.,2025-11-13,54.86,35041.22,2009763325.39
"Treat injuries, illnesses, or diseases.",2025-11-13,8.47,33030.42,4571369827.85
"Develop news, entertainment, or artistic content.",2025-11-13,67.64,31751.78,2303488700.35
Prepare specimens or materials for testing.,2025-11-13,19.10,31551.96,2072936508.91
Apply decorative finishes.,2025-11-13,51.61,31263.30,1739988635.93
Evaluate project feasibility.,2025-11-13,30.10,30843.36,5170873959.30
Coordinate artistic or entertainment activities.,2025-11-13,21.14,30579.67,1622267009.29
Position workpieces or materials on equipment.,2025-11-13,7.66,29695.14,1390362483.66
Cut materials.,2025-11-13,7.48,29240.26,1486847626.16
Obtain information about goods or services.,2025-11-13,77.84,28496.65,2132587760.52
Present information in legal proceedings.,2025-11-13,14.16,27519.94,4134830349.86
Conduct amusement or gaming activities.,2025-11-13,54.92,27493.29,969936490.23
Mediate disputes.,2025-11-13,18.73,27100.78,1561529330.97
Inspect vehicles.,2025-11-13,6.05,26095.61,1507512327.14
Develop scientific or mathematical theories or models.,2025-11-13,63.95,26075.42,2765368803.63
Present arts or entertainment performances.,2025-11-13,23.17,25580.48,2026044558.59
Apply materials to fill gaps or imperfections.,2025-11-13,10.66,24990.48,1228346212.76
Administer therapeutic treatments.,2025-11-13,6.62,24880.63,1805721729.80
Advise others on environmental sustainability or green practices.,2025-11-13,48.23,23744.65,2488639355.89
Investigate organizational or operational problems.,2025-11-13,54.41,23455.29,1890565918.65
Design industrial systems or equipment.,2025-11-13,15.81,22297.69,2335968361.38
Obtain formal documentation or authorization.,2025-11-13,54.98,22277.83,1318537254.48
Develop financial or business plans.,2025-11-13,46.22,22161.45,1401119970.27
Repair vehicle components.,2025-11-13,3.55,21987.43,1169915163.67
Develop public or community health programs.,2025-11-13,31.16,21807.60,2159316903.70
Process animal carcasses.,2025-11-13,24.51,21493.01,839949824.79
Assist individuals with paperwork.,2025-11-13,61.62,20889.19,991013053.76
"Load products, materials, or equipment for transportation or further processing.",2025-11-13,5.52,20769.10,890347580.35
Administer diagnostic tests to assess patient health.,2025-11-13,7.85,20750.17,1498884628.27
Advocate for individual or community needs.,2025-11-13,45.02,20636.49,1412859697.39
Investigate incidents or accidents.,2025-11-13,55.34,20550.10,1831022600.76
Research historical or social issues.,2025-11-13,88.35,20518.24,2103720390.85
Assemble equipment or components.,2025-11-13,8.07,20191.18,1230020087.96
Apply hygienic or cosmetic agents to skin or hair.,2025-11-13,9.01,20086.51,762277003.52
Investigate the environmental impact of industrial or development activities.,2025-11-13,18.23,19168.68,1667997447.89
"Perform athletic activities for fitness, competition, or artistic purposes.",2025-11-13,49.81,18945.14,1223333892.34
Operate transportation equipment or vehicles.,2025-11-13,1.31,18917.45,1443524236.75
"Join parts using soldering, welding, or brazing techniques.",2025-11-13,5.59,18443.13,1152044460.93
Install energy or heating equipment.,2025-11-13,7.61,18417.30,1041193000.16
Collect environmental or biological samples.,2025-11-13,11.75,18356.37,1138837582.23
Develop research plans or methodologies.,2025-11-13,43.21,18042.99,1745463785.61
Groom or style hair.,2025-11-13,12.52,17113.03,603234296.32
Maintain vehicles in working condition.,2025-11-13,6.01,16650.42,770952916.24
Design materials or devices.,2025-11-13,51.90,16620.39,1499510821.35
Advise others on workplace health or safety issues.,2025-11-13,47.31,15491.90,1243032811.40
Coordinate regulatory compliance activities.,2025-11-13,13.79,15373.55,1639139095.29
Fabricate devices or components.,2025-11-13,6.47,15046.45,731519801.19
Create decorative objects or parts of objects.,2025-11-13,58.04,14938.40,674120117.93
Perform court-related or other legal administrative activities.,2025-11-13,11.97,14877.13,907849879.36
Communicate environmental or sustainability information.,2025-11-13,53.79,13898.15,1481802587.44
Apply protective solutions or coatings.,2025-11-13,3.85,13871.65,580253870.01
Serve on organizational committees.,2025-11-13,36.58,13184.30,1215597494.16
Monitor environmental conditions.,2025-11-13,9.94,12136.99,415551935.37
Operate agricultural or forestry equipment.,2025-11-13,1.73,12072.18,481628361.77
Develop systems or practices to mitigate or resolve environmental problems.,2025-11-13,8.21,11763.01,1228889717.76
Prepare industrial materials for processing or use.,2025-11-13,4.68,11279.26,591308884.41
Maintain medical equipment or instruments.,2025-11-13,4.03,11039.93,863999529.15
Alter audio or video recordings.,2025-11-13,48.39,10845.47,748502819.77
Operate laboratory or field equipment.,2025-11-13,18.33,9375.09,669531345.09
Evaluate production inputs or outputs.,2025-11-13,4.77,9035.09,551814507.08
Direct vehicle traffic.,2025-11-13,4.25,8438.11,318334889.29
Analyze environmental or geospatial data.,2025-11-13,15.94,7643.73,691568550.61
"Discuss legal matters with clients, disputants, or legal professionals or staff.",2025-11-13,17.44,7582.70,971233097.58
Teach safety procedures or standards to others.,2025-11-13,41.50,7481.78,355718850.85
Direct legal activities.,2025-11-13,8.40,6968.98,435853855.74
"Clean workpieces, finished products, or other objects.",2025-11-13,3.28,6680.78,322252513.69
Research issues related to earth sciences.,2025-11-13,62.75,6638.01,565997577.10
Collect samples of products or materials.,2025-11-13,13.67,6479.37,318685811.01
Gather information for news stories.,2025-11-13,53.38,5158.31,287772564.65
"Develop safety standards, policies, or procedures.",2025-11-13,6.05,4905.14,597735584.29
Operate pumping systems or equipment.,2025-11-13,6.63,4718.62,215171650.25
Assess compliance with environmental standards or regulations.,2025-11-13,19.85,4001.41,287734268.19
Follow standard healthcare safety procedures to protect patient and staff members.,2025-11-13,13.12,3784.62,283424451.94
Build structures.,2025-11-13,1.43,3717.94,199349937.46
Install plumbing or piping equipment or systems.,2025-11-13,7.06,3678.85,156476556.06
Fabricate medical devices.,2025-11-13,5.26,3543.65,540957716.99
Fit assistive devices to patients or clients.,2025-11-13,14.15,3220.79,149960142.31
Position tools or equipment.,2025-11-13,6.81,3184.97,187063133.21
Monitor traffic conditions.,2025-11-13,3.80,2858.02,99973702.25
Develop health assessment methods or programs.,2025-11-13,2.63,2821.13,177731086.73
Adjust medical equipment to ensure adequate performance.,2025-11-13,10.59,2792.93,459594822.16
Operate cutting or grinding equipment.,2025-11-13,3.05,2701.74,114086794.15
Develop plans for managing or preserving natural resources.,2025-11-13,4.14,2652.29,335592424.57
Drill holes in earth or materials.,2025-11-13,3.73,2649.09,105362240.79
Operate energy production or distribution equipment.,2025-11-13,6.70,2482.30,230407628.75
Record images with photographic or audiovisual equipment.,2025-11-13,21.05,2417.93,135189273.80
Signal others to coordinate work activities.,2025-11-13,1.79,2126.13,92812756.18
Assemble products or work aids.,2025-11-13,0.87,2066.28,86858636.45
Develop contingency or emergency response plans.,2025-11-13,8.83,1947.03,162245609.43
Evaluate scholarly work.,2025-11-13,87.95,1838.89,143692486.69
Evaluate green technologies or processes.,2025-11-13,9.86,1677.13,162152628.82
Make legal decisions.,2025-11-13,22.26,1457.11,150823384.39
Operate construction or excavation equipment.,2025-11-13,0.91,1388.23,68217586.56
Remove workpieces from production equipment.,2025-11-13,1.66,1323.79,60873056.34
Direct security or safety activities or operations.,2025-11-13,7.43,1280.88,93591802.39
Disassemble equipment.,2025-11-13,0.88,1102.42,72941935.38
Train animals.,2025-11-13,9.27,1055.84,40913788.37
Research agricultural processes or practices.,2025-11-13,12.99,1025.30,82690418.61
Perform agricultural activities.,2025-11-13,2.70,964.15,34825202.46
Process forensic or legal evidence.,2025-11-13,10.02,809.20,75725032.50
Repair workpieces or products.,2025-11-13,1.74,665.38,33061284.43
Draft legislation or regulations.,2025-11-13,20.99,568.16,25459351.38
Sew garments or materials.,2025-11-13,1.75,536.52,21922080.38
Cut trees or other vegetation.,2025-11-13,5.25,510.47,23785093.77
Operate lifting or moving equipment.,2025-11-13,0.87,476.14,25929393.48
Manage agricultural or forestry operations.,2025-11-13,2.65,457.67,25366631.43
Take physical measurements of patients or clients.,2025-11-13,14.50,160.86,5535276.50
Dispose of waste or debris.,2025-11-13,0.14,157.14,7721665.23
Administer emergency medical treatment.,2025-11-13,1.18,112.63,7321831.28
Test sites or materials for environmental hazards.,2025-11-13,0.07,41.21,2972219.27
Manage control systems or activities.,2025-11-13,0.00,0.00,0.00
Tend watercraft.,2025-11-13,0.00,0.00,0.00
Hunt animals.,2025-11-13,0.00,0.00,0.00
Record information about environmental conditions.,2025-11-13,0.00,0.00,0.00
Engrave objects.,2025-11-13,0.00,0.00,0.00
Embalm corpses.,2025-11-13,0.00,0.00,0.00
Protect people or property from threats such as fires or flooding.,2025-11-13,0.00,0.00,0.00
Climb equipment or structures.,2025-11-13,0.00,0.00,0.00
Shape materials to create products.,2025-11-13,0.00,0.00,0.00
Set up protective structures or coverings near work areas.,2025-11-13,0.00,0.00,0.00
Supervise activities in correctional facilities.,2025-11-13,0.00,0.00,0.00
Smooth surfaces of objects or equipment.,2025-11-13,0.00,0.00,0.00
"Provide information to guests, clients, or customers.",2026-02-12,71.73,3339988.91,163797021490.83
Execute financial transactions.,2026-02-12,62.95,2732000.37,110534553123.46
Respond to customer problems or inquiries.,2026-02-12,75.18,2201163.18,113640953010.37
Prepare foods or beverages.,2026-02-12,59.49,2118204.31,71841818809.17
Communicate with others about operational plans or activities.,2026-02-12,57.75,1899327.67,114149519570.61
"Provide general assistance to others, such as customers, patrons, or motorists.",2026-02-12,63.49,1656812.53,65394982258.42
Determine values or prices of goods or services.,2026-02-12,65.47,1510441.45,72130676043.97
Read documents or materials to inform work processes.,2026-02-12,61.94,1334199.39,75919056976.78
Explain technical details of products or services.,2026-02-12,81.90,1285081.45,60420247626.49
Maintain operational records.,2026-02-12,21.23,1231274.90,78229490621.61
"Prepare documentation for contracts, applications, or permits.",2026-02-12,71.62,1165173.71,58387552238.55
"Direct organizational operations, activities, or procedures.",2026-02-12,20.66,1151934.75,105089164974.34
Maintain current knowledge in area of expertise.,2026-02-12,72.04,1039293.44,81492302478.81
Purchase goods or services.,2026-02-12,57.82,1022142.87,60048547502.18
Advise others on products or services.,2026-02-12,75.82,1010722.35,74016572460.08
Train others on operational or work procedures.,2026-02-12,53.36,1005459.30,68243211075.39
Perform administrative or clerical activities.,2026-02-12,69.62,994375.87,53147996082.22
Monitor individual behavior or performance.,2026-02-12,57.29,872944.90,53385141320.17
Evaluate the quality or accuracy of data.,2026-02-12,54.83,813099.49,47417033501.65
Prepare informational or instructional materials.,2026-02-12,76.56,812826.09,54281013937.42
"Measure physical characteristics of materials, products, or equipment.",2026-02-12,53.59,790917.05,35834406106.11
"Promote products, services, or programs.",2026-02-12,72.71,748554.40,42132355856.13
"Develop organizational policies, systems, or processes.",2026-02-12,36.62,728812.37,76545134610.64
"Explain regulations, policies, or procedures.",2026-02-12,67.28,691968.53,48406648046.30
Advise others on business or operational matters.,2026-02-12,61.01,690088.00,63637432451.95
Maintain sales or financial records.,2026-02-12,28.09,689913.97,29696354893.39
Design computer or information systems or applications.,2026-02-12,73.78,674387.56,72254544812.37
Maintain health or medical records.,2026-02-12,33.32,671018.26,54680431936.10
Teach academic or vocational subjects.,2026-02-12,58.57,659082.93,42549060653.29
Arrange displays or decorations.,2026-02-12,61.34,655749.94,26473650434.32
Implement procedures or processes.,2026-02-12,71.76,642737.61,70304332388.93
Train others on health or medical topics.,2026-02-12,45.25,639129.01,34879677820.36
Analyze data to improve operations.,2026-02-12,40.74,636558.72,69264715689.54
"Develop educational programs, plans, or procedures.",2026-02-12,36.69,628428.64,38730675044.42
"Compile records, documentation, or other data.",2026-02-12,72.51,613319.55,37775563103.84
Schedule appointments.,2026-02-12,57.54,606806.79,26860244751.82
Analyze business or financial data.,2026-02-12,69.26,598006.64,54116167722.75
Operate office equipment.,2026-02-12,63.06,594103.63,26790153375.45
Process digital or online data.,2026-02-12,65.96,584943.88,38828671769.29
Develop operational or technical procedures or standards.,2026-02-12,66.44,562372.17,57372573536.56
"Assess student capabilities, needs, or performance.",2026-02-12,67.46,550216.05,36848283958.71
Assist individuals with special needs.,2026-02-12,7.54,548859.86,19818197882.82
Adjust equipment to ensure adequate performance.,2026-02-12,56.27,533574.61,29222499635.35
Assist others to access additional services or resources.,2026-02-12,55.90,522414.21,28823843425.89
Provide food or beverage services.,2026-02-12,18.79,521340.58,16691696293.13
Examine materials or documentation for accuracy or compliance.,2026-02-12,61.96,519782.25,32397898491.63
Create visual designs or displays.,2026-02-12,61.16,515938.45,39016083279.76
Analyze health or medical data.,2026-02-12,63.08,513586.84,56118332429.85
Prepare mixtures or solutions.,2026-02-12,56.19,510337.37,22370910575.48
Supervise personnel activities.,2026-02-12,18.70,496204.52,34276831087.08
Collect data about consumer needs or opinions.,2026-02-12,54.01,490406.09,23577522445.19
Advise others on educational or vocational matters.,2026-02-12,69.04,481621.14,34107373430.49
Operate computer systems or computerized equipment.,2026-02-12,76.50,479218.12,24386389669.48
Present research or technical information.,2026-02-12,70.06,461830.68,36484049736.41
Maintain safety or security.,2026-02-12,46.96,460896.61,21494937171.21
Test performance of equipment or systems.,2026-02-12,57.37,458321.73,29169622929.91
"Distribute materials, supplies, or resources.",2026-02-12,57.85,452009.18,21088369302.59
Analyze market or industry conditions.,2026-02-12,76.51,448502.86,40543285358.61
Calculate financial data.,2026-02-12,64.87,444545.79,26273592097.84
Gather information from physical or electronic sources.,2026-02-12,70.70,420049.42,23629927023.23
Explain medical information to patients or family members.,2026-02-12,63.35,413953.41,36559253349.97
Collect fares or payments.,2026-02-12,14.06,406152.32,17535381248.95
Interview people to obtain information.,2026-02-12,50.46,405566.93,29409517377.38
Advise others on the design or use of technologies.,2026-02-12,67.61,403253.21,37781179971.27
Assign work to others.,2026-02-12,27.81,392233.59,22729678310.41
Develop business or marketing plans.,2026-02-12,58.58,386288.31,42876557156.29
Determine resource needs of projects or operations.,2026-02-12,54.36,374691.05,31260283520.51
Inspect characteristics or conditions of materials or products.,2026-02-12,54.36,367910.68,19091553223.78
Select materials or equipment for operations or projects.,2026-02-12,56.05,360627.09,21317499139.71
Perform recruiting or hiring activities.,2026-02-12,40.90,355980.19,28666275165.66
Plan work activities.,2026-02-12,54.18,350485.16,23609942866.18
Direct construction or extraction activities.,2026-02-12,28.91,342192.29,31700919090.86
Monitor financial data or activities.,2026-02-12,52.22,332479.66,24384447849.06
Manage budgets or finances.,2026-02-12,42.79,323290.56,46734964905.80
Coordinate with others to resolve problems.,2026-02-12,56.73,313760.31,24492568605.78
"Evaluate programs, practices, or processes.",2026-02-12,73.85,310608.04,29380059985.42
Communicate with others about specifications or project details.,2026-02-12,62.87,305498.25,28126910814.25
Train others to use equipment or products.,2026-02-12,48.63,303285.22,19778631254.00
Monitor health conditions of humans or animals.,2026-02-12,19.06,302609.46,25067100831.78
Teach life skills.,2026-02-12,57.71,299792.32,12699877249.37
"Set up classrooms, facilities, educational materials, or equipment.",2026-02-12,49.74,297538.58,17893751896.64
Counsel others about personal matters.,2026-02-12,50.39,294776.58,15826939981.49
Communicate with others about business strategies.,2026-02-12,62.48,292638.45,24801208045.84
Identify business or organizational opportunities.,2026-02-12,66.33,290513.57,23776764866.11
Prepare health or medical documents.,2026-02-12,47.63,289224.99,13196890922.65
Gather data about operational or development activities.,2026-02-12,58.82,286283.54,27028508544.96
Prepare reports of operational or procedural activities.,2026-02-12,22.49,286046.08,22508056341.85
Monitor operation of computer or information technologies.,2026-02-12,67.21,284223.29,28508837590.29
Resolve computer problems.,2026-02-12,71.61,275190.91,24411767863.83
Manage human resources activities.,2026-02-12,30.74,266980.09,22001500040.56
Investigate criminal or legal matters.,2026-02-12,56.27,262266.59,19733701685.89
Provide support or encouragement to others.,2026-02-12,51.11,258993.19,17780694593.39
Determine operational methods or procedures.,2026-02-12,62.85,253199.87,18392869040.87
Develop patient or client care or treatment plans.,2026-02-12,48.22,248847.77,26068557944.39
"Inspect commercial, industrial, or production systems or equipment.",2026-02-12,10.98,243537.31,13491668107.78
Monitor operations to ensure compliance with regulations or standards.,2026-02-12,22.81,239267.91,17390094454.76
"Monitor external affairs, trends, or events.",2026-02-12,64.13,233176.82,18736966674.14
"Set up computer systems, networks, or other information systems.",2026-02-12,71.55,232115.89,18158542874.64
"Maintain electronic, computer, or other technical equipment.",2026-02-12,61.98,223893.58,18869684346.92
Test performance of computer or information systems.,2026-02-12,67.40,222003.11,21147660539.83
Reconcile financial data.,2026-02-12,12.16,221544.69,9484373758.99
Stock supplies or products.,2026-02-12,12.73,221149.49,10881654078.78
Operate audiovisual or related equipment.,2026-02-12,26.61,219107.53,8726312859.45
Program computer systems or production equipment.,2026-02-12,70.69,215700.05,18188078178.48
Explain financial information.,2026-02-12,74.51,211037.14,14945132312.10
Sell products or services.,2026-02-12,20.26,210647.78,10783355697.14
Connect components or supply lines to equipment or tools.,2026-02-12,55.16,206861.16,11683641330.86
"Prepare financial documents, reports, or budgets.",2026-02-12,30.22,202839.70,17918869618.48
Evaluate patient or client condition or treatment options.,2026-02-12,25.34,190537.68,13675667217.76
Develop organizational or program goals or objectives.,2026-02-12,44.15,186695.26,24976299891.71
"Evaluate the characteristics, usefulness, or performance of products or technologies.",2026-02-12,61.35,186333.71,19969035537.56
Advise patients or clients on medical issues.,2026-02-12,62.86,186152.92,20437513756.42
Provide information or assistance to the public.,2026-02-12,66.50,185329.17,13089833805.24
"Clean tools, equipment, facilities, or work areas.",2026-02-12,3.35,183991.80,7762690283.80
"Evaluate designs, specifications, or other technical data.",2026-02-12,59.23,183685.40,19627403595.68
"Examine financial activities, operations, or systems.",2026-02-12,16.99,183139.06,10337516436.04
Negotiate contracts or agreements.,2026-02-12,30.13,181633.88,13857322914.95
"Monitor safety or security of work areas, facilities, or properties.",2026-02-12,13.27,174137.05,9351964371.03
Consult legal materials or public records.,2026-02-12,73.34,173727.99,18066507730.60
Set up equipment.,2026-02-12,59.54,173536.05,8155397196.55
Monitor equipment operation.,2026-02-12,7.18,173422.06,8026552467.77
Maintain facilities or equipment.,2026-02-12,55.23,173392.17,8657259764.51
Advise others on legal or regulatory matters.,2026-02-12,55.14,168199.31,21809328765.46
Prepare legal or regulatory documents.,2026-02-12,41.77,167530.10,12724170251.42
Verify personal information.,2026-02-12,49.64,165700.13,11558227338.93
Schedule operational activities.,2026-02-12,26.07,165176.92,9837519898.51
Monitor resources or inventories.,2026-02-12,20.80,164862.78,10404060772.76
Write material for artistic or commercial purposes.,2026-02-12,81.32,164113.76,12203845748.49
Authorize business activities or transactions.,2026-02-12,42.20,160808.92,23012583550.66
"Research laws, precedents, or other legal data.",2026-02-12,92.52,159654.86,22745494185.42
Operate communications equipment or systems.,2026-02-12,56.16,158211.72,8429807730.37
Confer with healthcare or other professionals about patient care.,2026-02-12,16.95,157451.00,12254467556.36
Sort materials or products.,2026-02-12,23.87,156435.62,7681286633.21
Develop marketing or promotional materials.,2026-02-12,85.16,151198.62,11944875674.56
Process shipments or mail.,2026-02-12,18.18,149604.88,7884941793.98
Notify others of emergencies or problems.,2026-02-12,8.80,144003.64,9273258530.43
Analyze scientific or applied data using mathematical principles.,2026-02-12,79.42,141688.71,17501472860.51
"Document technical designs, procedures, or activities.",2026-02-12,65.68,140820.17,14168948079.18
Implement security measures for computer or information systems.,2026-02-12,72.78,140614.67,15137061798.05
Develop professional relationships or networks.,2026-02-12,59.56,139140.71,12150553554.34
Collect information about patients or clients.,2026-02-12,29.11,138322.11,11234877726.86
Evaluate personnel capabilities or performance.,2026-02-12,25.97,136789.26,15794394921.58
Advise others on healthcare or wellness issues.,2026-02-12,49.89,136761.19,13443590923.01
Analyze biological or chemical substances or related data.,2026-02-12,65.14,135082.84,11850559186.29
Assist healthcare practitioners during medical procedures.,2026-02-12,11.02,135026.81,6954650181.58
Advise others on financial matters.,2026-02-12,73.44,132704.28,10789253377.03
Develop recipes or menus.,2026-02-12,62.86,131125.85,5365917443.15
Position materials or components for assembly.,2026-02-12,9.40,130492.07,6903676724.66
"Replenish inventories of materials, equipment, or products.",2026-02-12,15.89,123904.89,8032535466.55
Repair electrical or electronic equipment.,2026-02-12,22.50,123591.75,8098179994.77
Develop technical specifications for products or operations.,2026-02-12,64.53,123087.33,12129191219.51
Mark materials or objects for identification.,2026-02-12,10.63,122401.21,4899493778.01
"Coordinate activities with clients, agencies, or organizations.",2026-02-12,33.80,120092.19,14194662583.11
Inspect completed work or finished products.,2026-02-12,11.26,119025.48,6763214625.11
Edit written materials or documents.,2026-02-12,77.87,116306.22,10003785115.59
Prescribe medical treatments or devices.,2026-02-12,13.25,111008.39,8758040558.02
Monitor operations to ensure adequate performance.,2026-02-12,12.22,110147.40,8892218758.44
Research technology designs or applications.,2026-02-12,70.03,108524.57,11417389458.95
Install commercial or production equipment.,2026-02-12,14.82,108291.13,7466956912.09
Analyze business or financial risks.,2026-02-12,43.05,104268.86,9288016635.42
Escort others.,2026-02-12,21.35,100478.95,3552550984.16
Diagnose system or equipment problems.,2026-02-12,60.03,98646.52,6123351446.88
Confer with clients to determine needs or order specifications.,2026-02-12,57.20,97293.07,6298138724.98
"Assess living, work, or social needs or status of individuals or communities.",2026-02-12,46.53,94636.88,6688517456.05
"Research organizational behavior, processes, or performance.",2026-02-12,66.69,91730.70,7562341691.89
Analyze performance of systems or equipment.,2026-02-12,63.78,91203.73,7411013142.75
Diagnose health conditions or disorders.,2026-02-12,15.08,88410.00,9450274500.30
"Move materials, equipment, or supplies.",2026-02-12,6.22,86194.90,3064596177.38
Direct scientific or technical activities.,2026-02-12,21.89,84571.49,9001606990.66
"Coordinate group, community, or public activities.",2026-02-12,35.26,83860.49,6012842002.11
Prepare schedules for services or facilities.,2026-02-12,31.22,83543.87,3924694026.94
Maintain tools or equipment.,2026-02-12,6.36,83034.46,4481593179.57
"Evaluate condition of financial assets, property, or other resources.",2026-02-12,26.80,82212.23,6962023874.28
Plan events or programs.,2026-02-12,67.44,80650.68,6788240510.82
Collaborate in the development of educational programs.,2026-02-12,38.22,80134.89,4710695621.69
Prepare proposals or grant applications.,2026-02-12,52.55,78998.31,6208796770.87
Repair tools or equipment.,2026-02-12,12.73,74565.26,4220116116.74
Package objects.,2026-02-12,4.92,74320.64,2344979123.04
Estimate project development or operational costs.,2026-02-12,25.20,73345.21,5567395272.52
Care for plants or animals.,2026-02-12,54.50,66628.56,2594237588.52
Issue documentation.,2026-02-12,56.93,66106.36,3117981052.60
Design electrical or electronic systems or equipment.,2026-02-12,36.96,66101.59,7110379520.42
Transport patients or clients.,2026-02-12,13.40,63809.88,2820396648.97
Test characteristics of materials or products.,2026-02-12,24.22,63556.15,4007565624.93
Prepare medical equipment or work areas for use.,2026-02-12,17.12,62791.68,3566585827.14
Research biological or ecological phenomena.,2026-02-12,71.94,61763.31,5468899015.60
Design structures or facilities.,2026-02-12,35.46,61617.20,5955330371.44
Assess characteristics or impacts of regulations or policies.,2026-02-12,65.61,61310.65,5332506616.80
Operate medical equipment.,2026-02-12,16.85,57993.71,6535306118.32
Administer basic health care or medical treatments.,2026-02-12,8.52,56906.64,5114355890.35
"Develop models of systems, processes, or products.",2026-02-12,61.32,56016.54,6454503064.55
Coach others.,2026-02-12,67.15,54157.97,3218848893.03
Inspect facilities or equipment.,2026-02-12,9.28,54117.36,3952969229.74
Design databases.,2026-02-12,55.00,51440.68,5441216908.17
Perform human resources activities.,2026-02-12,25.79,50772.56,3835373092.97
Record information about legal matters.,2026-02-12,26.54,50033.08,4359046197.37
Operate industrial processing or production equipment.,2026-02-12,8.01,48836.55,2552286915.45
Perform general construction or extraction activities.,2026-02-12,4.20,47411.01,2284940309.21
Examine people or animals to assess health conditions or physical characteristics.,2026-02-12,15.16,46555.75,6329755047.41
"Assist scientists, scholars, or technical specialists with projects or research.",2026-02-12,62.96,45540.67,2739638653.65
Clean medical equipment or facilities.,2026-02-12,6.53,44503.67,2115987478.04
Resolve personnel or operational problems.,2026-02-12,16.16,41544.72,3593526317.30
Intervene in crisis situations or emergencies.,2026-02-12,10.23,40595.73,1737462309.60
Assess characteristics of land or property.,2026-02-12,5.53,40587.24,1984687684.85
Study details of artistic productions.,2026-02-12,73.37,40533.44,2823340723.44
"Interpret language, cultural, or religious information for others.",2026-02-12,82.80,40257.01,2304009447.08
Develop sustainable organizational or business policies or practices.,2026-02-12,20.98,39262.07,4085825847.17
Research healthcare issues.,2026-02-12,59.13,38560.98,4113185981.32
Prepare specimens or materials for testing.,2026-02-12,22.51,37366.94,2340309472.17
Order medical tests or procedures.,2026-02-12,37.90,37363.17,6003044200.29
Coordinate artistic or entertainment activities.,2026-02-12,24.36,37202.63,2142737427.76
"Investigate individuals' background, behavior, or activities.",2026-02-12,59.90,36567.26,2054126890.55
"Treat injuries, illnesses, or diseases.",2026-02-12,10.27,36445.01,5314819376.84
Create artistic designs or performances.,2026-02-12,54.86,35041.22,2009763325.39
"Develop news, entertainment, or artistic content.",2026-02-12,67.64,31751.78,2303488700.35
Present arts or entertainment performances.,2026-02-12,28.02,31460.45,2484682519.36
Apply decorative finishes.,2026-02-12,51.61,31263.30,1739988635.93
Evaluate project feasibility.,2026-02-12,30.66,30942.43,5184833603.62
Position workpieces or materials on equipment.,2026-02-12,7.66,29695.14,1390362483.66
Cut materials.,2026-02-12,7.48,29240.26,1486847626.16
Obtain information about goods or services.,2026-02-12,77.84,28496.65,2132587760.52
Present information in legal proceedings.,2026-02-12,14.16,27519.94,4134830349.86
Conduct amusement or gaming activities.,2026-02-12,54.92,27493.29,969936490.23
Mediate disputes.,2026-02-12,18.73,27100.78,1561529330.97
Develop scientific or mathematical theories or models.,2026-02-12,66.02,26223.70,2782256199.60
Inspect vehicles.,2026-02-12,6.05,26095.61,1507512327.14
Apply materials to fill gaps or imperfections.,2026-02-12,10.72,25032.51,1230368757.53
Administer therapeutic treatments.,2026-02-12,6.66,25010.65,1813256433.31
Collect environmental or biological samples.,2026-02-12,14.86,24171.35,1406210545.49
Assist individuals with paperwork.,2026-02-12,67.98,23766.72,1122285699.79
Advise others on environmental sustainability or green practices.,2026-02-12,48.23,23744.65,2488639355.89
Investigate organizational or operational problems.,2026-02-12,54.41,23455.29,1890565918.65
Apply hygienic or cosmetic agents to skin or hair.,2026-02-12,10.88,23276.62,894858002.46
Design industrial systems or equipment.,2026-02-12,16.00,22519.15,2358628241.91
Obtain formal documentation or authorization.,2026-02-12,54.98,22277.83,1318537254.48
Develop financial or business plans.,2026-02-12,46.27,22172.95,1401806892.68
Repair vehicle components.,2026-02-12,3.55,21987.43,1169915163.67
Develop public or community health programs.,2026-02-12,31.16,21807.60,2159316903.70
